,2,3,4,5,6,7,8,9,10,ACE,JACK,QUEEN,KING
5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,N/A,N/A,N/A,N/A,Hit,N/A,N/A,N/A,Hit,N/A,N/A,N/A,N/A
7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Stand,N/A,N/A,N/A,N/A
8,Hit,N/A,N/A,N/A,Hit,N/A,Stand,N/A,Hit,N/A,N/A,N/A,N/A
9,N/A,N/A,Double,Hit,N/A,N/A,Double,N/A,Hit,Hit,N/A,N/A,N/A
10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,N/A,N/A,N/A,Hit,N/A,N/A,N/A,Stand,Hit,Double,N/A,N/A,N/A
12,Hit,N/A,N/A,Hit,N/A,Hit,N/A,Stand,Hit,Stand,N/A,N/A,N/A
13,Hit,N/A,N/A,Double,N/A,Double,Stand,Hit,Double,Hit,N/A,N/A,N/A
14,N/A,Stand,N/A,Hit,Double,Double,Hit,Double,Stand,N/A,N/A,N/A,N/A
15,Hit,Double,N/A,Double,Double,Double,Hit,N/A,Hit,Hit,N/A,N/A,N/A
16,Stand,N/A,N/A,Double,Double,N/A,Hit,Hit,Hit,Hit,N/A,N/A,N/A
17,N/A,Double,N/A,Hit,Double,Double,N/A,Hit,Hit,Stand,N/A,N/A,N/A
18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hit,Hit,Stand,N/A,N/A,N/A
19,Stand,N/A,N/A,Hit,N/A,N/A,N/A,Hit,Hit,N/A,N/A,N/A,N/A
20,Hit,N/A,N/A,N/A,N/A,Double,Stand,Hit,Stand,N/A,N/A,N/A,N/A
21,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Stand,Stand,N/A,N/A,N/A
